date,word,count,used_last_year
2004,microsoft,53,1
2004,software,52,1
2004,investment,52,1
2004,almost,52,0
2004,energy,51,0
2004,industry,51,1
2004,public,51,1
2004,yesterday,51,1
2004,enough,51,0
2004,second,50,1
2004,thought,49,0
2004,itunes,48,1
2004,without,48,0
2004,school,47,0
2004,source,47,0
2004,content,47,1
2004,thinking,47,1
2004,family,47,0
2004,services,46,0
2004,wanted,45,0
2004,between,45,0
2004,president,44,0
2004,coming,44,1
2004,talking,44,0
2004,problem,43,1
2004,little,43,0
2004,customers,43,1
2004,invest,42,1
2004,subject,42,1
2004,experience,42,0
2004,comment,42,1
2004,already,41,0
2004,numbers,41,0
2004,listen,41,0
2004,debate,41,0
2004,figure,41,0
2004,political,40,0
2004,research,39,0
2004,online,38,1
2004,traffic,38,0
2004,adsense,38,0
2004,amazing,38,0
2004,readers,37,0
2004,different,37,0
2004,looking,37,0
2004,picture,37,0
2009,twitter,407,1
2009,people,400,1
2009,company,333,1
2009,business,326,1
2009,don39t,319,0
2009,companies,265,1
2009,should,240,1
2009,because,238,1
2009,wilson,235,0
2009,that39s,229,0
2009,social,219,1
2009,google,202,1
2009,facebook,199,1
2009,venture,192,1
2009,internet,186,1
2009,service,182,1
2009,something,181,1
2009,market,179,1
2009,really,178,1
2009,services,175,1
2009,investment,167,1
2009,things,165,1
2009,around,164,1
2009,capital,162,1
2009,comments,160,1
2009,mobile,157,1
2009,portfolio,156,1
2009,better,150,1
2009,search,148,1
2009,lindzon,143,0
2009,called,143,1
2009,important,130,1
2009,public,125,1
2009,number,121,1
2009,yesterday,117,1
2009,everyone,112,1
2009,getting,112,1
2009,content,111,1
2009,comment,110,1
2009,interesting,108,1
2009,investors,105,1
2009,entrepreneurs,104,1
2009,before,100,1
2009,working,98,1
2009,online,98,1
2009,through,98,1
2009,always,97,1
2009,another,95,1
2009,morning,92,1
2009,believe,90,1
2009,thought,85,1
2009,talking,85,0
2009,battelle,84,0
2009,can39t,81,0
2009,pretty,81,1
2009,community,78,0
2009,system,78,1
2009,looking,78,1
2009,second,78,0
2009,experience,78,1
2009,started,77,1
2009,record,77,1
2009,friend,76,1
2009,between,76,1
2009,startup,75,1
2009,traffic,75,0
2009,coming,74,1
2009,together,74,0
2009,articles,73,0
2009,making,72,1
2009,thinking,72,1
2009,building,71,0
2009,we39ve,70,0
2009,almost,70,1
2009,investments,69,0
2009,there39s,68,0
2009,couple,66,1
2009,friends,65,1
2009,reading,64,1
2009,here39s,64,0
2009,zemanta,64,0
2009,approach,63,0
2009,disqus,63,1
2009,iphone,63,1
2009,someone,62,1
2009,discussion,62,0
2009,without,61,1
2009,technology,60,1
2009,please,59,1
2009,investing,59,0
2009,already,58,1
2009,partner,58,0
2009,square,58,1
2009,investor,58,0
2009,advertising,58,1
2009,different,57,1
2009,markets,57,1
2009,government,57,0
2009,family,57,0
2009,choose,56,0
2003,business,57,0
2003,because,55,0
2003,internet,46,0
2003,market,38,0
2003,people,37,0
2003,companies,37,0
2003,technology,33,0
2003,should,32,0
2003,venture,31,0
2003,company,29,0
2003,really,27,0
2003,better,26,0
2003,search,26,0
2003,digital,24,0
2003,through,21,0
2003,called,21,0
2003,software,21,0
2003,public,20,0
2003,itunes,20,0
2003,industry,19,0
2003,filter,19,0
2003,interesting,18,0
2003,something,18,0
2003,social,17,0
2003,things,17,0
2003,network,16,0
2003,getting,16,0
2003,system,15,0
2003,information,15,0
2003,reuters,15,0
2003,investments,14,0
2003,audience,14,0
2003,around,14,0
2003,postini,14,0
2003,thinks,14,0
2003,blogging,13,0
2003,interested,13,0
2003,doesnt,13,0
2003,always,13,0
2003,customers,13,0
2003,important,13,0
2003,networking,12,0
2003,service,12,0
2003,yesterday,12,0
2003,capital,12,0
2003,management,12,0
2003,clarks,12,0
2003,before,11,0
2003,issues,11,0
2003,consumers,11,0
2003,marketers,11,0
2003,emails,11,0
2003,valley,11,0
2003,addresses,11,0
2003,invest,10,0
2003,subject,10,0
2003,friend,10,0
2003,coming,10,0
2003,country,10,0
2003,others,10,0
2003,making,10,0
2003,investment,10,0
2003,street,10,0
2003,instead,9,0
2003,private,9,0
2003,democratic,9,0
2003,problem,9,0
2003,google,9,0
2003,probably,9,0
2003,silicon,9,0
2003,returns,9,0
2003,equity,9,0
2003,microsoft,9,0
2003,thinking,9,0
2003,morning,9,0
2003,comments,9,0
2003,michael,8,0
2003,politics,8,0
2003,sounds,8,0
2003,another,8,0
2003,online,8,0
2003,pretty,8,0
2003,campaign,8,0
2003,opportunity,8,0
2003,article,8,0
2003,jarvis,8,0
2003,bigfoot,8,0
2003,second,8,0
2003,someone,8,0
2003,theyll,8,0
2003,raised,8,0
2003,comment,8,0
2003,content,8,0
2003,available,8,0
2003,anyone,8,0
2003,happening,8,0
2003,against,8,0
2003,theres,8,0
2003,distance,8,0
2003,primary,8,0
2008,people,447,1
2008,business,340,1
2008,companies,331,1
2008,twitter,325,1
2008,company,319,1
2008,because,301,1
2008,market,273,1
2008,google,260,1
2008,should,243,1
2008,really,234,1
2008,service,221,1
2008,better,214,1
2008,venture,207,1
2008,social,201,1
2008,facebook,201,1
2008,capital,201,1
2008,services,199,1
2008,something,196,1
2008,internet,193,1
2008,things,185,1
2008,portfolio,170,1
2008,comments,170,1
2008,around,152,1
2008,yesterday,150,1
2008,everyone,146,1
2008,search,145,1
2008,number,142,1
2008,online,135,1
2008,called,133,1
2008,comment,131,1
2008,getting,126,1
2008,important,121,1
2008,morning,118,1
2008,technology,113,1
2008,another,112,1
2008,investors,110,1
2008,friend,106,1
2008,investment,106,1
2008,through,105,1
2008,content,105,1
2008,always,103,1
2008,theres,103,1
2008,markets,102,0
2008,interesting,99,1
2008,between,99,0
2008,friends,98,1
2008,working,97,1
2008,public,97,1
2008,coming,95,1
2008,tumblr,94,0
2008,system,93,1
2008,doesnt,93,1
2008,before,92,1
2008,started,91,1
2008,someone,90,1
2008,certainly,88,1
2008,others,87,1
2008,disqus,87,0
2008,network,86,1
2008,thinking,86,1
2008,posted,85,1
2008,almost,83,0
2008,blogging,80,1
2008,mobile,80,0
2008,course,79,1
2008,startup,79,0
2008,square,79,1
2008,ventures,79,1
2008,change,78,0
2008,iphone,78,1
2008,different,76,1
2008,already,75,1
2008,financial,75,0
2008,entrepreneurs,75,1
2008,reading,74,0
2008,without,74,1
2008,advertising,74,0
2008,pretty,73,1
2008,making,73,0
2008,experience,72,1
2008,microsoft,72,0
2008,particularly,71,0
2008,little,71,1
2008,several,71,1
2008,happen,70,0
2008,couple,70,1
2008,myspace,69,0
2008,believe,69,0
2008,wanted,69,0
2008,months,69,0
2008,probably,68,0
2008,record,68,1
2008,invest,67,0
2008,instead,67,0
2008,anyone,67,1
2008,please,66,0
2008,thought,66,0
2008,problem,66,0
2008,looking,66,1
2008,favorite,65,1
